mask_file,dish_pixels,pathogen_pixels,percent_pathogen_area
Dc - 31-1c_pred.png,8132,5265,64.7442203639941
021_pred.png,8419,4030,47.86791780496496
Dc - 236-1c_pred.png,8083,3996,49.43709018928616
Dc - 34-1b_pred.png,8395,3595,42.82310899344848
Dc - 130-1a_pred.png,8447,4233,50.11246596424766
Dc - 92-1c_pred.png,8032,5198,64.71613545816733
Dc - 201-1c_pred.png,7635,3977,52.0890635232482
049_pred.png,8309,5032,60.56083764592611
Dc - 185-1b_pred.png,8303,3999,48.16331446465133
007_pred.png,8332,5250,63.01008161305809
050_pred.png,8239,4965,60.26216773880325
Dc - 34-1a_pred.png,8300,3390,40.8433734939759
Dc - 114-1a_pred.png,7815,6088,77.90147152911068
Dc - 167-1a_pred.png,8032,4351,54.17081673306773
040_pred.png,8127,4037,49.673926418112465
Dc - 27-3c_pred.png,7927,5990,75.5645263025104
