mask_file,dish_pixels,pathogen_pixels,percent_pathogen_area
Dc - 93-3b_pred.png,8379,4414,52.67931734097148
Dc - 116-1c_pred.png,9855,5617,56.99644850329782
Dc - 235-1b_pred.png,9339,3932,42.103008887461186
Dc - 65-1a_pred.png,9744,6548,67.20032840722496
Dc - 23-1a_pred.png,9104,4985,54.75615114235501
Dc - 26-1b_pred.png,9044,4957,54.80981866430783
Dc - 172-1a_pred.png,10276,5212,50.72012456208641
Dc - 163-1a_pred.png,9024,4031,44.6697695035461
Dc - 114-1c_pred.png,7052,4647,65.89619965967101
036_pred.png,9489,6463,68.11044367161978
044_pred.png,9337,5680,60.8332440826818
Dc - 178-2b_pred.png,8852,5043,56.97017623136014
028_pred.png,9514,6350,66.7437460584402
046_pred.png,9513,5888,61.89424997372017
Dc - 158-1c_pred.png,9734,4784,49.14731867680296
Dc - 76-1b_pred.png,9469,5693,60.1225050163692
Dc - 103-1a_pred.png,9721,5249,53.99650241744676
Dc - 27-3a_pred.png,9949,6999,70.34877877173585
Dc - 27-2a_pred.png,9415,5556,59.01221455124801
Dc - 31-1c_pred.png,9056,5576,61.57243816254417
021_pred.png,9541,4990,52.30059742165391
Dc - 236-1c_pred.png,8943,4142,46.315554064631556
Dc - 34-1b_pred.png,9717,4591,47.2470927240918
Dc - 130-1a_pred.png,9513,4921,51.72921265636497
Dc - 92-1c_pred.png,9370,4922,52.52934898612593
Dc - 201-1c_pred.png,8561,3816,44.57423198224507
049_pred.png,9042,5700,63.039150630391504
Dc - 185-1b_pred.png,9676,5066,52.35634559735428
007_pred.png,9756,6538,67.01517015170151
050_pred.png,9525,5954,62.509186351706035
Dc - 34-1a_pred.png,9207,4382,47.594221787770174
Dc - 114-1a_pred.png,8823,5514,62.4957497449847
Dc - 167-1a_pred.png,9276,4555,49.10521776627857
040_pred.png,9099,5064,55.654467523903726
Dc - 27-3c_pred.png,8457,6295,74.43537897599622
